observation_id,Type,Date,Part of a standard enforcement protocol,Galactic X,Galactic Y,Reproduction,Age range,Self-defined species category,Officer-defined species category,Governing law,Object of inspection,Inspection involving more than just outerwear,Enforcement station,Inspection Outcome
3fef99de-9d71-4654-bd63-16b0edf415b8,Entity inspection,2241-08-10 01:59:49+00:00,,-498.219116,81707.93502399999,Sexual,Young Adult,Xenar - Unspecified,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Mercury Base R525-VN,False
0fd918b3-476e-4586-99aa-17ebf5368a15,Entity inspection,2241-07-04 10:34:00+00:00,False,-17.244252999999983,2828.057491999997,Asexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
3888c496-cdf1-4744-a2c2-c77727231660,Entity and Spaceship search,2241-11-07 01:22:00+00:00,False,,,Asexual,Adult,,Silicar,,Regulated Star Substances,,Thallium Outpost V207-LQ,False
7286dd68-99be-41cb-819d-10af44d2a6e3,Entity inspection,2241-09-27 17:45:00+00:00,False,-20.262276999999997,3323.0134279999997,Asexual,Adult,Xenar - Unspecified,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
4dc5ed0b-e8fd-41be-a917-f4d54e27a97e,Entity inspection,2241-08-28 20:45:00+00:00,False,90.61052600000001,-14860.126264,Asexual,Young Adult,Xenar - Unspecified,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Krypton Dock D175-WU,False
f22ca3f2-1b2d-4891-9e7d-9c2825783c82,Entity and Spaceship search,2241-11-05 19:01:00+00:00,False,86.751323,-14227.216972,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Eclipse Sector G262-TX,True
d345ca9b-d34b-4900-bcdc-1d17ada537fa,Entity inspection,2240-06-06 12:50:00+00:00,,-421.320125,69096.50050000001,Sexual,Young,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Avalon Sector M148-CN,False
f1d4eade-40fa-4a42-ad07-4ac5b370a15e,Entity inspection,2240-08-22 11:15:00+00:00,False,0.247327,-40.561628,Asexual,Young,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,,Galactic Hub X101-IO,False
e1061e39-b779-4d70-b809-4e3bd38286a7,Entity inspection,2240-06-29 20:28:17+00:00,False,,,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Western Meridian Line P111-GT,False
943c3ee1-8de0-4b5d-a064-b112928f2d9a,Entity inspection,2241-01-02 23:30:00+00:00,False,-16.931295000000002,2776.7323800000004,Asexual,Adult,Xenar - Unspecified,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,,Galactic Hub X101-IO,False
d288fc26-c989-4147-a11e-d37ed87c5d9d,Entity inspection,2240-12-21 12:10:00+00:00,,-222.975227,36567.937227999995,Sexual,Senior,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Thievery Equipment,False,Helios Command C210-ZR,True
2f9a9a4d-17a6-4c4b-b365-4fb9a32f4bf6,Entity inspection,2241-11-09 20:29:37+00:00,,,,Asexual,Young,Terran - Northern Cluster,Terran,Stellar Arms Regulation 3968 (Provision 47),Prohibited Blasters,False,Mercury Base R525-VN,False
7156be2d-c399-4557-b8bd-514ec59303c9,Entity and Spaceship search,2240-12-10 12:10:00+00:00,False,25.820705,-4234.59562,Asexual,Adult,Terran - Gaelic Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Proof of Interstellar Offenses,,Galactic Hub X101-IO,False
cf0e119c-3dd7-4cfb-8fbe-16bda1c848e9,Entity inspection,2241-02-18 23:58:00+00:00,False,-27.400859,4493.740876,Asexual,Young Adult,Xenar - Unspecified,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
ec7dc4b0-256a-4b60-96a1-c58ee24520cb,Entity inspection,2240-06-29 23:00:00+00:00,False,-58.708014999999996,9628.114459999999,Asexual,Senior,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Thievery Equipment,False,Saxon Shield U87-PE,False
4309a2c0-e236-4b91-aca5-cce49380dc8b,Entity inspection,2240-04-23 23:00:00+00:00,False,-85.376245,14001.704179999999,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Saxon Shield U87-PE,False
b89263b5-47b2-49db-87cc-45f88c5a2844,Entity inspection,2241-06-17 16:00:00+00:00,False,,,Asexual,Young Adult,Xenar - Diverse,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
1de8f049-8abc-43b6-bd88-cfb0c6961c05,Entity inspection,2241-09-18 14:10:00+00:00,False,,,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
312d331b-c08b-45ab-ba4d-3b94699d0334,Entity inspection,2241-07-29 13:20:00+00:00,False,,,Asexual,Adult,Xenar - Unspecified,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Hercules Node S188-MP,False
675c747a-06b3-4846-b705-f346e1e82385,Entity and Spaceship search,2240-08-13 20:00:00+00:00,False,-255.20505799999998,41853.629512,Asexual,Young Adult,Xenar - Diverse,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Westeron Division B234-YZ,False
7221b04a-3cac-4efa-ba09-afb5cf7ae05c,Entity inspection,2240-12-31 21:44:11+00:00,False,-57.712026999999985,9464.772427999998,Asexual,Young Adult,Xenar - Unspecified,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Hercules Node S188-MP,False
52f3928d-ebe2-426f-87cc-5ca46c659208,Entity and Spaceship search,2240-12-27 17:22:00+00:00,False,-21.970853999999985,3603.2200559999974,Asexual,Adult,Xenar - Unspecified,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
ef18d5b8-d480-4a9d-920f-2b2260535fc8,Entity inspection,2241-04-22 18:01:00+00:00,True,120.33652599999999,-19735.190263999997,Asexual,Young Adult,Zoltrax - Diverse Clans,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Eclipse Sector G262-TX,True
fedec4d6-68ae-4f94-bafe-a78f7287caff,Entity inspection,2241-12-18 15:00:00+00:00,,-0.557446,91.421144,Asexual,Adult,Silicar - Various Sects,Silicar,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,False,Binary Transition Point L115-QE,False
e5c0bb46-815c-4465-a3e9-9e8ecc6921c8,Entity inspection,2240-06-01 07:35:00+00:00,False,-19.095448,3131.653472,Asexual,Adult,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Proof of Interstellar Offenses,,Galactic Hub X101-IO,False
562c291a-2179-460e-aac4-a257ba08f57b,Entity and Spaceship search,2240-05-14 21:44:00+00:00,False,11.074437999999999,-1816.2078319999998,Asexual,Young Adult,Zoltrax - Islander,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
6770c340-6375-4104-8e07-3860f754da85,Entity inspection,2241-10-13 00:51:05.436666+00:00,False,-582.110898,95466.18727200001,Asexual,Young,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Crimson Core Q31-TE,False
67f48f59-5b23-4d12-bdd3-cd1d52864038,Entity inspection,2241-10-20 10:15:00+00:00,False,-21.626333,3546.7186119999997,Asexual,Adult,Xenar - Unspecified,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
49081d0f-fcef-4d95-8cdc-5fbe8aeab413,Entity inspection,2240-10-16 14:30:00+00:00,False,-9.793213999999983,1606.0870959999972,Asexual,Young Adult,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,,Galactic Hub X101-IO,False
05107dda-d5f0-4bd9-8d57-f890b347faeb,Entity inspection,2241-11-06 02:00:00+00:00,False,-3.607534,591.635576,Asexual,Adult,Terran - Outer Colonies,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Proof of Interstellar Offenses,,Galactic Hub X101-IO,False
f5a4c871-8375-451d-9217-d37903400be7,Entity inspection,2241-12-05 04:33:46+00:00,,,,Sexual,Adult,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Lunar City Command F35-GC,False
dae9aef2-261d-4700-a71f-5228d3c36ff7,Entity inspection,2241-12-15 19:30:00+00:00,,-407.860092,66889.05508800001,Asexual,Young,Zoltrax - Diverse Clans,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Chevron Station R71-QB,False
5059b7ac-8825-47c0-96bb-18fb1b780a2f,Entity inspection,2241-03-03 17:54:00+00:00,False,-7.5896490000000005,1244.702436,Asexual,Young Adult,Terran - Outer Colonies,Terran,Universal Justice and Order Statute 3994 (Article 60),Hazardous Intimidation Devices,,Galactic Hub X101-IO,False
c94ec488-bb1d-46e0-88a4-3ebdeb0e13b5,Entity inspection,2241-06-09 13:33:00+00:00,,,,Asexual,Young Adult,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Humeros Node M28-NR,False
b66614a4-1913-4f29-8b2c-f3465fcd2014,Entity inspection,2241-11-24 01:30:00+00:00,False,-24.720675999999997,4054.1908639999997,Asexual,Young Adult,Terran - Outer Colonies,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
3db10a5a-ce7b-40a5-bd1a-80ff87d04d64,Entity inspection,2241-01-09 13:16:00+00:00,False,-16.817901999999986,2758.135927999998,Asexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
f3ac3a6d-8dc6-4bdf-b566-bd6962908b3c,Entity inspection,2241-05-24 22:55:00+00:00,False,-20.248416,3320.7402239999997,Asexual,Young,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
0c289bc0-a721-4905-94c7-e6c24996ff54,Entity and Spaceship search,2241-08-30 23:02:00+00:00,False,,,Asexual,Adult,Zoltrax - Continental,Zoltrax,,Regulated Star Substances,,Thallium Outpost V207-LQ,False
7d1ed99a-75be-4d7c-a123-811915776d64,Entity inspection,2240-06-15 19:05:00+00:00,False,-10.934325000000001,1793.2293000000002,Asexual,Young,Terran - Gaelic Cluster,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Proof of Interstellar Offenses,,Galactic Hub X101-IO,False
12073dde-b9f7-4a49-b7fc-391038dc6c35,Entity inspection,2241-10-27 12:43:52+00:00,,-473.692828,77685.623792,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Mercury Base R525-VN,True
4149c811-fe6a-4ae5-acb2-908b26c58839,Entity inspection,2240-11-16 17:00:00+00:00,False,-53.366687,8752.136668,Asexual,Young Adult,Silicar - Indusian,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
03a8e7ef-7717-4a78-89b4-affb07a125a1,Entity inspection,2241-11-07 01:30:00+00:00,False,-18.316727,3003.943228,Asexual,Young Adult,Silicar - Various Sects,Silicar,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,,Galactic Hub X101-IO,False
9f3954d5-c265-4839-8059-af519eb12810,Entity inspection,2241-09-20 17:29:00+00:00,,-248.18170600000002,40701.799784,Sexual,Senior,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,False,Helios Command C210-ZR,False
c2f57001-bd26-49a4-86b0-e5740ccefec6,Entity and Spaceship search,2241-04-09 15:50:00+00:00,False,13.010969999999999,-2133.79908,Asexual,Senior,Zoltrax - Islander,Zoltrax,Universal Justice and Order Statute 3994 (Article 60),Hazardous Intimidation Devices,,Galactic Hub X101-IO,False
78918941-b041-4e27-a28d-2bf44ce581df,Entity inspection,2240-04-24 18:00:00+00:00,False,-12.096143999999999,1983.7676159999999,Asexual,Senior,Zoltrax - Islander,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
231dcacd-a745-4357-ac51-33f095eb1892,Entity and Spaceship search,2240-09-15 17:28:00+00:00,False,,,Asexual,Adult,,Zoltrax,,Regulated Star Substances,,Thallium Outpost V207-LQ,True
e7d4367a-cdee-4f52-9012-63a5ba816a99,Entity inspection,2241-07-15 12:40:00+00:00,,-276.495387,45345.243468,Sexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Nebular Frontier A92-TR,True
180a9406-a5d1-472a-92d5-7f21d6bfdd09,Entity inspection,2241-10-09 08:45:00+00:00,False,-580.81097,95252.99908,Asexual,Senior,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Dione Command E106-HD,True
572a5b4c-c999-4549-8a2a-0e52518cf277,Entity and Spaceship search,2241-02-13 21:09:00+00:00,False,-432.62702699999994,70950.832428,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Gallium Ground V47-LM,False
f3d377d9-3caf-404e-9a5e-cbf6cda17111,Entity inspection,2240-10-05 21:54:00+00:00,,-506.09800900000005,83000.073476,Sexual,Senior,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,True,Lancer Base O114-XV,False
2fb3c33c-997d-433e-9d31-bf070b41af97,Entity inspection,2241-11-09 20:34:00+00:00,True,,,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Southern Yorik Station F160-OK,True
2e36c5c8-1ebe-4044-aaf9-ad2587d198f9,Entity inspection,2240-04-14 11:15:00+00:00,False,,,Asexual,Young Adult,Zoltrax - Diverse Clans,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,,Galactic Hub X101-IO,False
67aa19dc-430f-4080-901c-6720cace042a,Entity inspection,2241-05-04 19:38:00+00:00,False,-11.338632,1859.535648,Sexual,Young,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
61658fed-7e33-43e8-8283-51e2e46ed6e3,Entity inspection,2241-09-07 01:30:00+00:00,,,,Asexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Humeros Node M28-NR,False
2157b87f-ab78-4295-9cc2-f1b706c631af,Entity inspection,2241-08-13 00:15:00+00:00,False,-13.124863999999999,2152.477696,Asexual,Young,Zoltrax - Diverse Clans,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
50bdf7d1-cfbf-4544-aacf-43e42cc70259,Entity inspection,2241-04-15 18:50:00+00:00,False,-260.160616,42666.341024,Asexual,Senior,Xenar - Diverse,Silicar,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Westeron Division B234-YZ,True
05d2ab4b-3261-478b-90eb-70f40b90612d,Entity inspection,2241-08-14 20:11:00+00:00,,,,Asexual,Young Adult,Hybrid - Terran/Zoltrax,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,True,Humeros Node M28-NR,False
2b7ad232-d895-47c0-9167-9d0fdf829d23,Entity inspection,2240-01-10 20:15:00+00:00,False,-16.736072,2744.715808,Asexual,Adult,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Proof of Interstellar Offenses,,Galactic Hub X101-IO,False
58b76a5c-5f07-45c7-8596-f195792ad731,Entity inspection,2241-12-13 22:12:00+00:00,False,,,Asexual,Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Southern Yorik Station F160-OK,True
8a397bca-3ca6-4ed7-bda9-1e059caa878c,Entity and Spaceship search,2241-11-17 13:01:00+00:00,True,117.45594299999999,-19262.774652,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Eclipse Sector G262-TX,True
5ac15a15-5677-4afd-8882-ae1e08eb5d97,Entity inspection,2241-04-07 22:46:00+00:00,False,-64.412568,10563.661151999999,Asexual,Young Adult,Terran - Outer Colonies,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
3060d65e-ed39-4084-a513-b24048b76e65,Entity inspection,2240-04-01 12:50:00+00:00,,-156.835378,25721.001991999998,Asexual,Young,Xenar - Unspecified,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Helios Command C210-ZR,False
9e38707f-690e-432f-90ee-e1d3bad48df9,Entity inspection,2240-09-27 20:09:00+00:00,,-211.894777,34750.743428,Asexual,Young,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Thievery Equipment,False,Derelict Dominion C50-MV,False
d706c037-0928-4a5c-8458-10c71bdf8497,Entity inspection,2241-03-23 14:50:00+00:00,,-317.12465,52008.442599999995,Asexual,Young,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,False,Binary Transition Point L115-QE,False
8d33f7d1-f374-4ca9-a9c2-81827ca90548,Entity inspection,2240-09-17 16:00:00+00:00,False,-13.124863999999999,2152.477696,Asexual,Young Adult,Terran - Outer Colonies,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
7cc70446-9b10-4029-95a8-085442de6237,Entity inspection,2241-11-07 17:03:00+00:00,False,-244.22547600000001,40052.978064,Asexual,Young Adult,Zoltrax - Islander,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Warlock Ward E49-UN,False
216d4d81-cc77-4ba8-b1f4-3bdf2e76115e,Entity inspection,2240-10-26 12:10:00+00:00,True,-85.13877099999999,13962.758444,Asexual,Young Adult,Zoltrax - Islander,Zoltrax,,Regulated Star Substances,,Sirius Patrol Unit J153-AX,True
36a1327d-2105-452d-8983-724526da8fd2,Entity inspection,2240-09-19 23:00:00+00:00,False,49.753475,-8159.5699,Asexual,Young Adult,Hybrid - Terran/Silicar,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Saxon Shield U87-PE,False
8cc283ea-0f85-4cfd-8e6b-c263acb9d703,Entity inspection,2241-10-07 01:45:00+00:00,False,-23.715336,3889.3151040000002,Asexual,Adult,Xenar - Unspecified,Xenar,Galactic Enforcement and Evidence Code 3984 (Clause 1),Vandalism Tools,,Galactic Hub X101-IO,False
d15bf6c2-3fdc-4cd3-9207-77e271abe88d,Entity inspection,2241-04-15 23:59:14+00:00,,-487.784622,79996.678008,Asexual,Young,Terran - Northern Cluster,Terran,Galactic Enforcement and Evidence Code 3984 (Clause 1),Thievery Equipment,False,Mercury Base R525-VN,False
cf8aa3c5-e89a-404d-bbf6-d18333ca0998,Entity inspection,2241-03-06 14:20:00+00:00,False,-12.269155999999983,2012.1415839999972,Asexual,Young,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Prohibited Combat Implements,,Galactic Hub X101-IO,False
884e4a19-a34f-4511-b6bc-a3b3d2cc6100,Entity inspection,2241-03-16 14:25:00+00:00,False,-45.520191999999994,7465.311487999999,Asexual,Senior,Zoltrax - Diverse Clans,Zoltrax,Stellar Arms Regulation 3968 (Provision 47),Prohibited Blasters,,Galactic Hub X101-IO,False
3e3c54c2-5c8a-44c7-85af-ada89ff39354,Entity and Spaceship search,2241-08-24 19:50:09+00:00,,-504.044076,82663.228464,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,False,Mercury Base R525-VN,False
5bb33e23-a57d-46fd-9c4b-d9b3e4c5cf88,Entity inspection,2240-12-12 14:21:44+00:00,False,-375.547763,61589.83313199999,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Western Meridian Line P111-GT,True
c73f9cf3-4d22-4171-b297-9ff3f80c6dc4,Entity inspection,2241-11-28 18:50:00+00:00,False,15.528495,-2546.67318,Asexual,Young Adult,Zoltrax - Diverse Clans,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
4e5fb355-5862-4729-9abc-0da65b62a819,Entity inspection,2241-03-07 15:00:00+00:00,False,-23.013935999999983,3774.285503999997,Asexual,Senior,Zoltrax - Diverse Clans,Zoltrax,Galactic Enforcement and Evidence Code 3984 (Clause 1),Confiscated Galactic Artifacts,,Galactic Hub X101-IO,False
82ad8cad-3320-4b3b-9972-ca94db1c4180,Entity inspection,2241-08-13 12:42:00+00:00,False,-17.234567,2826.4689879999996,Asexual,Young Adult,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
fdbe2db7-852a-404e-9f01-2c1d0f52fc8d,Entity and Spaceship search,2240-03-21 02:45:00+00:00,False,,,Asexual,Adult,Terran - Outer Colonies,Terran,,Thievery Equipment,False,Thallium Outpost V207-LQ,False
c9d9295f-40e6-4cd5-9f9c-bb9ac80a8b7d,Entity inspection,2241-08-30 14:55:00+00:00,False,-54.458867,8931.254187999999,Asexual,Young Adult,Zoltrax - Continental,Zoltrax,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,,Galactic Hub X101-IO,False
e23455f1-3d24-49de-a87f-571060b95539,Entity and Spaceship search,2241-08-14 23:59:26+00:00,,-506.628902,83087.139928,Asexual,Senior,Terran - Northern Cluster,Terran,Interstellar Substance Control Ordinance 4719 (Directive 23),Regulated Star Substances,True,Mercury Base R525-VN,False
